vehicle_id,timestamp,speed_kmph,engine_temp_c,oil_pressure_psi,vibration_g,mileage_km,age_months,fault,time_to_failure_days
VEH012,2014-04-07 14:47:16.525117,64.67,84.29,42.2,0.137,78749,13,0,
VEH074,2014-04-08 14:47:16.525117,62.0,95.05,44.27,0.001,55715,70,1,25.0
VEH096,2014-04-09 14:47:16.525117,58.02,92.75,25.18,0.31,6408,8,0,
VEH016,2014-04-10 14:47:16.525117,36.12,84.12,51.78,0.321,20334,34,0,
VEH072,2014-04-11 14:47:16.525117,73.11,92.17,40.17,0.262,26130,75,1,37.0
VEH076,2014-04-12 14:47:16.525117,65.61,96.35,34.16,0.349,17255,102,1,42.0
VEH024,2014-04-13 14:47:16.525117,76.53,85.96,39.23,0.437,37025,23,1,23.0
VEH028,2014-04-14 14:47:16.525117,36.92,92.98,43.68,0.261,1620,111,0,
VEH008,2014-04-15 14:47:16.525117,67.61,83.44,46.86,0.233,45362,118,0,
VEH092,2014-04-16 14:47:16.525117,56.48,84.43,39.99,0.269,9952,63,0,
VEH036,2014-04-17 14:47:16.525117,62.16,99.0,42.71,0.298,13105,6,1,45.0
VEH090,2014-04-18 14:47:16.525117,56.65,94.74,37.95,0.277,11766,27,1,13.0
VEH008,2014-04-19 14:47:16.525117,68.15,75.31,44.42,0.483,15155,100,1,17.0
VEH058,2014-04-20 14:47:16.525117,57.56,86.88,41.55,0.303,18234,28,1,50.0
VEH060,2014-04-21 14:47:16.525117,44.22,93.13,41.49,0.271,24781,13,1,51.0
VEH050,2014-04-22 14:47:16.525117,61.3,91.18,38.02,0.514,14886,34,1,30.0
VEH028,2014-04-23 14:47:16.525117,56.79,94.79,41.94,0.487,23089,49,0,
VEH092,2014-04-24 14:47:16.525117,58.75,90.87,34.95,0.398,8258,115,1,55.0
VEH041,2014-04-25 14:47:16.525117,12.18,86.55,41.51,0.191,55191,67,0,
VEH100,2014-04-26 14:47:16.525117,70.24,89.21,36.27,0.706,1334,24,0,
VEH064,2014-04-27 14:47:16.525117,55.28,98.49,33.19,0.108,15772,64,0,
VEH027,2014-04-28 14:47:16.525117,39.78,94.55,35.31,0.056,1829,118,0,
VEH063,2014-04-29 14:47:16.525117,73.84,93.93,38.36,0.377,11695,85,1,13.0
VEH017,2014-04-30 14:47:16.525117,69.55,91.19,36.71,0.252,5956,24,0,
VEH073,2014-05-01 14:47:16.525117,55.09,85.36,42.84,0.095,55261,106,0,
VEH033,2014-05-02 14:47:16.525117,42.72,86.68,40.81,0.262,263,27,0,
VEH084,2014-05-03 14:47:16.525117,62.67,98.65,45.22,0.355,9925,88,1,2.0
VEH077,2014-05-04 14:47:16.525117,61.85,97.86,38.71,0.314,30469,73,0,
VEH092,2014-05-05 14:47:16.525117,73.87,85.5,41.53,0.323,4176,10,0,
VEH029,2014-05-06 14:47:16.525117,53.34,90.47,51.15,0.232,33811,10,1,54.0
VEH013,2014-05-07 14:47:16.525117,77.92,94.88,36.88,0.304,39283,30,1,48.0
VEH046,2014-05-08 14:47:16.525117,51.9,93.06,37.98,0.512,24620,29,0,
VEH035,2014-05-09 14:47:16.525117,39.81,92.39,46.98,0.456,4690,6,0,
VEH006,2014-05-10 14:47:16.525117,43.02,80.25,35.23,0.22,6350,119,0,
VEH082,2014-05-11 14:47:16.525117,59.06,80.58,48.83,0.335,3652,33,1,34.0
VEH069,2014-05-12 14:47:16.525117,59.02,99.31,37.65,0.478,4068,52,0,
VEH047,2014-05-13 14:47:16.525117,64.92,102.32,33.77,0.221,743,90,1,40.0
VEH025,2014-05-14 14:47:16.525117,58.64,78.08,46.62,0.29,38942,65,1,45.0
VEH066,2014-05-15 14:47:16.525117,74.66,90.51,38.44,0.326,15036,24,0,
VEH010,2014-05-16 14:47:16.525117,56.08,96.32,50.31,0.43,7942,92,1,26.0
VEH056,2014-05-17 14:47:16.525117,30.06,70.87,42.4,0.063,6837,19,0,
VEH030,2014-05-18 14:47:16.525117,58.18,81.32,41.31,0.251,15735,75,0,
VEH005,2014-05-19 14:47:16.525117,29.9,87.76,36.71,0.176,7910,101,1,2.0
VEH033,2014-05-20 14:47:16.525117,64.07,85.43,39.58,0.327,39860,119,1,32.0
VEH065,2014-05-21 14:47:16.525117,75.86,92.47,38.12,0.189,4738,101,1,41.0
VEH018,2014-05-22 14:47:16.525117,45.21,101.02,46.89,0.273,42792,13,0,
VEH096,2014-05-23 14:47:16.525117,81.28,84.24,42.31,0.29,21818,42,0,
VEH049,2014-05-24 14:47:16.525117,72.64,91.03,44.13,0.164,62759,91,0,
VEH011,2014-05-25 14:47:16.525117,78.1,88.15,40.78,0.048,304,77,0,
VEH085,2014-05-26 14:47:16.525117,62.84,91.23,37.41,0.462,1218,107,0,
VEH026,2014-05-27 14:47:16.525117,45.11,89.3,42.3,0.2,13898,15,0,
VEH063,2014-05-28 14:47:16.525117,71.71,111.68,47.38,0.198,48694,72,0,
VEH089,2014-05-29 14:47:16.525117,50.63,101.45,32.56,0.191,26245,18,0,
VEH086,2014-05-30 14:47:16.525117,61.77,77.44,43.77,0.222,19464,44,0,
VEH059,2014-05-31 14:47:16.525117,57.43,82.67,49.71,0.5,642,69,0,
VEH027,2014-06-01 14:47:16.525117,76.87,84.62,35.65,0.252,8744,35,1,10.0
VEH049,2014-06-02 14:47:16.525117,70.95,80.67,46.46,0.341,8488,9,0,
VEH077,2014-06-03 14:47:16.525117,58.79,78.99,46.64,0.187,15621,50,0,
VEH033,2014-06-04 14:47:16.525117,30.73,87.11,32.52,0.313,5963,11,1,24.0
VEH098,2014-06-05 14:47:16.525117,50.47,83.61,47.3,0.237,6216,21,1,9.0
VEH099,2014-06-06 14:47:16.525117,70.56,83.4,37.1,0.353,19397,27,0,
VEH001,2014-06-07 14:47:16.525117,64.2,106.37,40.52,0.212,57851,96,0,
VEH021,2014-06-08 14:47:16.525117,37.45,83.51,46.79,0.279,21586,26,0,
VEH055,2014-06-09 14:47:16.525117,32.9,85.1,47.69,0.299,22060,98,0,
VEH006,2014-06-10 14:47:16.525117,62.93,96.08,30.18,0.39,85683,70,0,
VEH092,2014-06-11 14:47:16.525117,44.14,85.63,51.17,0.076,3332,35,1,23.0
VEH081,2014-06-12 14:47:16.525117,45.59,79.95,49.51,0.178,688,29,0,
VEH069,2014-06-13 14:47:16.525117,70.09,88.44,46.47,0.382,27370,69,0,
VEH095,2014-06-14 14:47:16.525117,78.03,106.97,40.47,0.419,11553,18,0,
VEH005,2014-06-15 14:47:16.525117,48.74,85.59,37.83,0.538,11201,99,0,
VEH003,2014-06-16 14:47:16.525117,59.33,82.67,34.23,0.184,5105,31,0,
VEH053,2014-06-17 14:47:16.525117,58.89,93.31,29.93,0.018,14139,103,0,
VEH023,2014-06-18 14:47:16.525117,57.54,87.43,44.12,0.217,11674,25,0,
VEH053,2014-06-19 14:47:16.525117,60.61,111.94,44.11,0.01,8476,66,0,
VEH037,2014-06-20 14:47:16.525117,71.35,84.27,40.07,0.377,11694,11,0,
VEH074,2014-06-21 14:47:16.525117,49.89,103.36,35.9,0.366,9684,48,0,
VEH074,2014-06-22 14:47:16.525117,37.12,98.16,39.6,0.401,56233,54,0,
VEH083,2014-06-23 14:47:16.525117,85.35,88.22,36.34,0.375,78493,14,0,
VEH017,2014-06-24 14:47:16.525117,76.34,90.79,40.05,0.46,36639,106,0,
VEH085,2014-06-25 14:47:16.525117,43.45,80.93,36.72,0.134,92949,42,0,
VEH078,2014-06-26 14:47:16.525117,62.03,85.79,44.09,0.027,6177,21,0,
VEH073,2014-06-27 14:47:16.525117,75.16,87.65,47.7,0.175,37020,9,0,
VEH001,2014-06-28 14:47:16.525117,71.24,91.82,42.87,0.264,10438,37,1,11.0
VEH051,2014-06-29 14:47:16.525117,66.93,79.05,40.61,0.275,27419,89,1,38.0
VEH045,2014-06-30 14:47:16.525117,57.45,92.36,45.7,0.331,4497,98,1,58.0
VEH077,2014-07-01 14:47:16.525117,85.91,90.13,40.1,0.327,33421,100,1,39.0
VEH004,2014-07-02 14:47:16.525117,63.31,93.35,45.41,0.082,1743,114,0,
VEH062,2014-07-03 14:47:16.525117,52.28,93.99,35.78,0.201,6309,22,0,
VEH065,2014-07-04 14:47:16.525117,73.07,88.85,37.07,0.246,34514,46,1,58.0
VEH032,2014-07-05 14:47:16.525117,61.44,93.98,33.67,0.297,27499,94,1,15.0
VEH034,2014-07-06 14:47:16.525117,65.25,89.56,37.25,0.223,13912,50,0,
VEH092,2014-07-07 14:47:16.525117,63.05,96.1,45.28,0.369,22343,21,0,
VEH095,2014-07-08 14:47:16.525117,67.45,92.9,34.48,0.143,4105,25,0,
VEH072,2014-07-09 14:47:16.525117,45.32,90.71,26.1,0.231,22038,47,0,
VEH039,2014-07-10 14:47:16.525117,38.23,88.09,37.7,0.366,160,15,1,42.0
VEH026,2014-07-11 14:47:16.525117,81.51,101.44,31.81,0.388,35821,57,1,15.0
VEH034,2014-07-12 14:47:16.525117,63.74,93.43,36.63,0.261,14525,65,0,
VEH054,2014-07-13 14:47:16.525117,71.56,80.01,53.64,0.197,57604,53,0,
VEH003,2014-07-14 14:47:16.525117,33.6,84.9,35.18,0.203,13008,28,0,
VEH050,2014-07-15 14:47:16.525117,76.0,88.97,43.9,0.245,11350,38,0,
VEH012,2014-07-16 14:47:16.525117,52.18,89.6,39.56,0.222,11958,112,1,7.0
VEH065,2014-07-17 14:47:16.525117,47.91,90.81,42.15,0.249,8917,82,0,
VEH054,2014-07-18 14:47:16.525117,59.05,82.4,37.7,0.306,3646,30,0,
VEH005,2014-07-19 14:47:16.525117,45.33,88.72,47.1,0.335,36911,55,0,
VEH094,2014-07-20 14:47:16.525117,59.97,87.49,42.81,0.09,9855,106,0,
VEH094,2014-07-21 14:47:16.525117,57.95,98.58,41.87,0.612,15062,105,1,14.0
VEH057,2014-07-22 14:47:16.525117,75.91,82.83,41.31,0.183,401,93,0,
VEH017,2014-07-23 14:47:16.525117,82.7,91.0,47.44,0.375,1242,75,0,
VEH047,2014-07-24 14:47:16.525117,82.22,85.63,43.8,0.117,18185,84,1,4.0
VEH023,2014-07-25 14:47:16.525117,26.03,103.21,40.9,0.585,42277,60,1,3.0
VEH079,2014-07-26 14:47:16.525117,45.97,99.35,42.98,0.427,13600,103,1,35.0
VEH085,2014-07-27 14:47:16.525117,25.88,75.15,30.92,0.283,3605,73,0,
VEH014,2014-07-28 14:47:16.525117,42.1,82.74,41.85,0.237,2468,83,0,
VEH066,2014-07-29 14:47:16.525117,50.26,96.48,38.97,0.056,46009,9,1,54.0
VEH075,2014-07-30 14:47:16.525117,66.16,93.97,46.61,0.569,24188,33,0,
VEH051,2014-07-31 14:47:16.525117,52.2,93.02,35.49,0.443,67743,34,1,24.0
VEH038,2014-08-01 14:47:16.525117,52.62,91.16,41.09,0.258,1718,87,1,11.0
VEH064,2014-08-02 14:47:16.525117,62.73,97.75,50.77,0.411,46581,89,0,
VEH098,2014-08-03 14:47:16.525117,34.36,94.97,39.35,0.128,37368,53,0,
VEH038,2014-08-04 14:47:16.525117,47.42,87.05,32.31,0.001,44733,110,0,
VEH050,2014-08-05 14:47:16.525117,52.45,80.03,54.04,0.253,115,101,1,8.0
VEH098,2014-08-06 14:47:16.525117,56.96,76.33,37.07,0.112,27088,77,0,
VEH082,2014-08-07 14:47:16.525117,61.15,89.23,33.84,0.224,15923,112,0,
VEH030,2014-08-08 14:47:16.525117,82.51,76.41,35.36,0.224,17027,115,0,
VEH079,2014-08-09 14:47:16.525117,73.63,92.69,44.1,0.135,12667,118,0,
VEH091,2014-08-10 14:47:16.525117,48.46,86.96,48.09,0.273,27148,18,1,3.0
VEH051,2014-08-11 14:47:16.525117,56.08,105.36,49.03,0.211,174718,109,1,21.0
VEH063,2014-08-12 14:47:16.525117,55.06,92.5,39.84,0.464,24794,115,0,
VEH098,2014-08-13 14:47:16.525117,52.29,89.38,34.14,0.282,22667,48,0,
VEH052,2014-08-14 14:47:16.525117,64.09,77.28,37.85,0.316,21251,14,0,
VEH038,2014-08-15 14:47:16.525117,32.1,78.51,41.35,0.023,23762,45,0,
VEH097,2014-08-16 14:47:16.525117,73.21,96.11,39.26,0.419,8374,51,0,
VEH088,2014-08-17 14:47:16.525117,85.4,88.77,47.97,0.518,7719,116,0,
VEH079,2014-08-18 14:47:16.525117,55.95,110.08,30.09,0.418,30680,63,0,
VEH030,2014-08-19 14:47:16.525117,55.66,89.12,33.4,0.374,1090,102,1,13.0
VEH051,2014-08-20 14:47:16.525117,62.36,91.47,37.99,0.272,28479,61,0,
VEH081,2014-08-21 14:47:16.525117,75.29,80.23,43.19,0.307,33623,17,0,
VEH005,2014-08-22 14:47:16.525117,55.14,97.34,36.61,0.577,14746,106,1,54.0
VEH029,2014-08-23 14:47:16.525117,74.01,83.29,37.53,0.603,48191,30,0,
VEH004,2014-08-24 14:47:16.525117,67.33,94.56,46.59,0.37,12814,115,0,
VEH010,2014-08-25 14:47:16.525117,95.42,98.27,42.01,0.188,3922,94,0,
VEH056,2014-08-26 14:47:16.525117,55.07,90.52,34.04,0.396,8969,21,1,26.0
VEH017,2014-08-27 14:47:16.525117,30.36,102.57,35.68,0.177,47261,56,0,
VEH074,2014-08-28 14:47:16.525117,38.51,84.04,43.7,0.177,101466,85,1,40.0
VEH017,2014-08-29 14:47:16.525117,60.18,103.41,31.09,0.291,10958,108,0,
VEH084,2014-08-30 14:47:16.525117,75.42,80.6,44.0,0.559,3650,104,1,31.0
VEH088,2014-08-31 14:47:16.525117,50.21,95.9,37.35,0.544,6746,92,0,
VEH069,2014-09-01 14:47:16.525117,56.54,88.69,42.31,0.477,16117,77,0,
VEH034,2014-09-02 14:47:16.525117,70.27,84.85,41.23,0.397,16977,58,0,
VEH006,2014-09-03 14:47:16.525117,45.52,75.99,34.7,0.094,19888,115,1,56.0
VEH053,2014-09-04 14:47:16.525117,50.83,87.46,36.43,0.323,36079,57,0,
VEH066,2014-09-05 14:47:16.525117,42.48,86.53,49.03,0.558,24841,72,0,
VEH077,2014-09-06 14:47:16.525117,77.67,92.27,54.0,0.378,6044,29,0,
VEH043,2014-09-07 14:47:16.525117,83.13,96.95,28.82,0.489,10051,112,0,
VEH075,2014-09-08 14:47:16.525117,36.31,82.35,47.02,0.02,36628,91,0,
VEH023,2014-09-09 14:47:16.525117,57.87,103.96,40.38,0.478,20068,19,0,
VEH055,2014-09-10 14:47:16.525117,81.11,86.75,52.82,0.126,3640,27,0,
VEH080,2014-09-11 14:47:16.525117,65.98,95.12,36.14,0.292,7876,103,1,43.0
VEH095,2014-09-12 14:47:16.525117,52.66,90.35,45.35,0.515,31317,105,0,
VEH075,2014-09-13 14:47:16.525117,36.81,87.25,38.46,0.338,3777,36,0,
VEH016,2014-09-14 14:47:16.525117,77.29,91.19,47.57,0.428,23491,90,0,
VEH008,2014-09-15 14:47:16.525117,65.41,82.75,54.59,0.236,16581,63,1,57.0
VEH004,2014-09-16 14:47:16.525117,37.91,85.79,41.7,0.01,3191,74,0,
VEH004,2014-09-17 14:47:16.525117,77.85,80.17,34.15,0.111,23351,24,0,
VEH056,2014-09-18 14:47:16.525117,35.99,84.41,49.04,0.374,3071,111,1,31.0
VEH025,2014-09-19 14:47:16.525117,56.69,86.1,43.78,0.331,10164,58,0,
VEH067,2014-09-20 14:47:16.525117,56.03,96.56,41.61,0.582,7379,90,1,19.0
VEH096,2014-09-21 14:47:16.525117,84.28,88.56,49.64,0.312,23424,7,0,
VEH067,2014-09-22 14:47:16.525117,56.08,86.22,33.55,0.147,30498,58,0,
VEH027,2014-09-23 14:47:16.525117,56.03,91.56,35.55,0.304,3686,72,0,
VEH093,2014-09-24 14:47:16.525117,39.55,90.42,43.52,0.452,33425,52,1,7.0
VEH032,2014-09-25 14:47:16.525117,50.39,84.79,36.09,0.01,144,58,0,
VEH050,2014-09-26 14:47:16.525117,47.74,92.54,37.85,0.365,15102,62,0,
VEH061,2014-09-27 14:47:16.525117,48.52,88.0,47.85,0.101,14546,99,0,
VEH051,2014-09-28 14:47:16.525117,60.09,85.26,43.07,0.301,19553,103,0,
VEH019,2014-09-29 14:47:16.525117,23.49,84.21,33.51,0.38,5480,30,0,
VEH021,2014-09-30 14:47:16.525117,37.35,96.46,41.8,0.415,198,40,0,
VEH005,2014-10-01 14:47:16.525117,58.33,86.19,47.82,0.482,12130,34,0,
VEH082,2014-10-02 14:47:16.525117,61.82,92.18,40.81,0.349,1481,81,0,
VEH092,2014-10-03 14:47:16.525117,56.5,79.57,46.27,0.325,44548,92,0,
VEH042,2014-10-04 14:47:16.525117,59.39,98.89,36.01,0.427,3815,97,0,
VEH061,2014-10-05 14:47:16.525117,53.86,85.03,42.06,0.13,11075,115,1,34.0
VEH022,2014-10-06 14:47:16.525117,59.72,93.19,30.22,0.297,11383,22,0,
VEH021,2014-10-07 14:47:16.525117,66.51,88.31,43.95,0.077,16097,85,0,
VEH070,2014-10-08 14:47:16.525117,66.41,93.43,41.82,0.374,30514,54,0,
VEH001,2014-10-09 14:47:16.525117,49.67,93.03,31.96,0.098,12778,61,0,
VEH005,2014-10-10 14:47:16.525117,73.73,89.53,49.17,0.425,521,78,0,
VEH012,2014-10-11 14:47:16.525117,62.36,75.19,44.91,0.474,29490,8,0,
VEH090,2014-10-12 14:47:16.525117,78.48,99.65,34.88,0.423,1714,27,0,
VEH046,2014-10-13 14:47:16.525117,81.49,89.96,43.94,0.398,20519,100,1,35.0
VEH034,2014-10-14 14:47:16.525117,38.36,91.86,33.91,0.49,32534,19,1,6.0
VEH049,2014-10-15 14:47:16.525117,47.11,94.89,34.43,0.259,6644,8,0,
VEH078,2014-10-16 14:47:16.525117,72.2,86.95,34.43,0.094,11924,43,1,54.0
VEH090,2014-10-17 14:47:16.525117,35.03,92.89,33.66,0.302,288,92,1,53.0
VEH045,2014-10-18 14:47:16.525117,81.3,85.08,43.12,0.161,32580,26,0,
VEH027,2014-10-19 14:47:16.525117,54.84,92.84,40.28,0.326,24298,56,1,41.0
VEH073,2014-10-20 14:47:16.525117,68.63,90.59,44.43,0.341,5263,29,1,11.0
VEH026,2014-10-21 14:47:16.525117,58.25,86.53,23.43,0.211,9893,101,0,
VEH047,2014-10-22 14:47:16.525117,39.11,89.33,37.72,0.19,23769,50,0,
VEH086,2014-10-23 14:47:16.525117,75.83,82.35,38.5,0.061,8868,74,0,
VEH056,2014-10-24 14:47:16.525117,101.26,94.54,39.86,0.297,3544,102,1,15.0
VEH094,2014-10-25 14:47:16.525117,52.27,92.92,39.87,0.249,14617,49,0,
VEH063,2014-10-26 14:47:16.525117,55.16,92.52,41.12,0.258,25715,52,1,8.0
VEH048,2014-10-27 14:47:16.525117,20.26,100.03,39.53,0.46,7737,62,0,
VEH061,2014-10-28 14:47:16.525117,80.27,90.25,37.22,0.596,2596,24,0,
VEH081,2014-10-29 14:47:16.525117,73.68,90.47,37.56,0.249,35385,39,0,
VEH026,2014-10-30 14:47:16.525117,34.0,79.34,40.75,0.305,5828,8,0,
VEH036,2014-10-31 14:47:16.525117,29.03,101.03,41.92,0.393,14382,44,0,
VEH001,2014-11-01 14:47:16.525117,30.76,76.55,41.86,0.403,23510,97,0,
VEH008,2014-11-02 14:47:16.525117,69.68,92.31,35.06,0.175,7627,80,0,
VEH099,2014-11-03 14:47:16.525117,71.17,85.64,35.41,0.137,20918,65,0,
VEH052,2014-11-04 14:47:16.525117,46.15,89.81,43.08,0.175,12312,15,0,
VEH079,2014-11-05 14:47:16.525117,67.49,79.91,45.55,0.091,16899,45,0,
VEH047,2014-11-06 14:47:16.525117,62.38,97.25,45.7,0.329,17860,7,0,
VEH056,2014-11-07 14:47:16.525117,54.49,82.08,37.85,0.103,34762,115,1,32.0
VEH086,2014-11-08 14:47:16.525117,74.55,100.06,27.73,0.388,21361,50,0,
VEH014,2014-11-09 14:47:16.525117,41.93,81.68,43.12,0.1,6138,108,1,44.0
VEH090,2014-11-10 14:47:16.525117,77.21,98.66,34.84,0.335,1229,32,1,3.0
VEH028,2014-11-11 14:47:16.525117,49.07,82.81,40.1,0.226,100,58,0,
VEH087,2014-11-12 14:47:16.525117,86.72,86.42,41.25,0.2,46955,14,0,
VEH078,2014-11-13 14:47:16.525117,44.92,89.23,43.4,0.446,56984,108,0,
VEH088,2014-11-14 14:47:16.525117,54.73,82.95,46.06,0.144,1976,6,0,
VEH002,2014-11-15 14:47:16.525117,60.88,83.02,47.72,0.311,13351,38,1,51.0
VEH026,2014-11-16 14:47:16.525117,60.78,83.35,48.58,0.172,3287,43,0,
VEH014,2014-11-17 14:47:16.525117,67.36,92.92,40.33,0.563,59420,62,0,
VEH059,2014-11-18 14:47:16.525117,40.71,89.03,29.96,0.275,5669,38,0,
VEH056,2014-11-19 14:47:16.525117,59.44,90.39,36.3,0.403,13928,53,1,30.0
VEH007,2014-11-20 14:47:16.525117,62.07,87.51,48.7,0.379,3621,8,0,
VEH003,2014-11-21 14:47:16.525117,52.08,93.99,40.49,0.492,8092,37,0,
VEH023,2014-11-22 14:47:16.525117,66.06,98.7,52.2,0.365,6206,82,0,
VEH018,2014-11-23 14:47:16.525117,39.8,93.6,37.37,0.12,12903,26,1,22.0
VEH038,2014-11-24 14:47:16.525117,55.1,88.08,54.07,0.357,10887,73,0,
VEH099,2014-11-25 14:47:16.525117,48.7,79.67,41.02,0.29,8033,22,0,
VEH015,2014-11-26 14:47:16.525117,55.15,73.94,39.09,0.236,2238,47,0,
VEH064,2014-11-27 14:47:16.525117,81.71,90.57,35.67,0.052,13251,73,0,
VEH089,2014-11-28 14:47:16.525117,82.0,75.15,45.44,0.332,37970,89,0,
VEH028,2014-11-29 14:47:16.525117,79.06,89.36,31.59,0.51,26203,17,0,
VEH074,2014-11-30 14:47:16.525117,53.07,100.87,35.61,0.342,25500,95,1,11.0
VEH039,2014-12-01 14:47:16.525117,73.61,81.45,40.54,0.379,9117,50,0,
VEH057,2014-12-02 14:47:16.525117,61.69,79.8,27.47,0.265,24648,41,0,
VEH017,2014-12-03 14:47:16.525117,60.68,95.13,38.9,0.331,12529,85,1,26.0
VEH086,2014-12-04 14:47:16.525117,58.84,67.5,52.57,0.166,3256,56,0,
VEH090,2014-12-05 14:47:16.525117,86.38,94.37,42.15,0.334,10861,12,1,50.0
VEH044,2014-12-06 14:47:16.525117,80.49,102.77,34.77,0.422,2848,38,1,44.0
VEH025,2014-12-07 14:47:16.525117,71.17,83.58,37.77,0.208,2431,53,0,
VEH017,2014-12-08 14:47:16.525117,57.45,81.52,42.87,0.445,466,71,0,
VEH013,2014-12-09 14:47:16.525117,60.59,94.75,36.46,0.174,6649,38,0,
VEH084,2014-12-10 14:47:16.525117,67.96,81.03,43.71,0.51,8035,83,1,57.0
VEH025,2014-12-11 14:47:16.525117,52.18,96.1,36.16,0.298,24042,89,0,
VEH068,2014-12-12 14:47:16.525117,74.07,81.99,34.66,0.252,15444,106,0,
VEH010,2014-12-13 14:47:16.525117,46.18,103.46,45.74,0.273,39102,32,0,
VEH067,2014-12-14 14:47:16.525117,65.88,95.59,43.7,0.389,3883,52,0,
VEH018,2014-12-15 14:47:16.525117,25.65,88.59,28.81,0.236,6183,111,0,
VEH100,2014-12-16 14:47:16.525117,51.74,103.27,36.65,0.295,56630,90,1,3.0
VEH086,2014-12-17 14:47:16.525117,91.17,99.81,45.28,0.441,11741,71,0,
VEH034,2014-12-18 14:47:16.525117,75.54,93.73,38.63,0.493,31122,48,0,
VEH008,2014-12-19 14:47:16.525117,83.03,76.25,37.89,0.075,13552,85,1,38.0
VEH040,2014-12-20 14:47:16.525117,49.99,83.89,39.1,0.393,12738,24,0,
VEH083,2014-12-21 14:47:16.525117,61.56,98.76,39.79,0.531,3206,73,0,
VEH042,2014-12-22 14:47:16.525117,79.23,80.56,39.87,0.012,38102,15,0,
VEH041,2014-12-23 14:47:16.525117,69.5,84.35,40.07,0.145,1631,27,0,
VEH006,2014-12-24 14:47:16.525117,67.63,82.2,39.88,0.445,7428,81,1,10.0
VEH052,2014-12-25 14:47:16.525117,84.46,94.44,33.71,0.378,22384,71,1,13.0
VEH026,2014-12-26 14:47:16.525117,44.39,96.93,33.16,0.591,14155,7,0,
VEH064,2014-12-27 14:47:16.525117,57.24,97.58,32.7,0.311,42636,110,1,7.0
VEH098,2014-12-28 14:47:16.525117,33.69,81.86,41.36,0.18,801,113,1,28.0
VEH059,2014-12-29 14:47:16.525117,43.57,92.29,43.27,0.516,20962,103,0,
VEH056,2014-12-30 14:47:16.525117,76.11,83.61,34.99,0.143,12981,23,1,58.0
VEH059,2014-12-31 14:47:16.525117,46.24,87.63,31.24,0.252,3352,85,0,
VEH070,2015-01-01 14:47:16.525117,71.03,94.71,34.3,0.407,27193,24,0,
VEH033,2015-01-02 14:47:16.525117,84.88,99.73,47.44,0.447,10597,116,0,
VEH053,2015-01-03 14:47:16.525117,57.33,72.67,39.85,0.094,15167,94,0,
VEH022,2015-01-04 14:47:16.525117,67.8,91.18,38.6,0.345,68386,35,0,
VEH021,2015-01-05 14:47:16.525117,71.15,101.82,34.03,0.315,13319,117,0,
VEH070,2015-01-06 14:47:16.525117,41.68,90.94,43.34,0.052,34674,11,0,
VEH070,2015-01-07 14:47:16.525117,50.75,90.2,39.24,0.232,29356,32,0,
VEH004,2015-01-08 14:47:16.525117,44.95,84.74,36.17,0.029,21738,20,0,
VEH094,2015-01-09 14:47:16.525117,51.95,100.64,32.75,0.254,45424,36,0,
VEH075,2015-01-10 14:47:16.525117,70.74,86.4,42.63,0.102,5796,49,0,
VEH062,2015-01-11 14:47:16.525117,51.07,88.75,41.71,0.41,34381,91,0,
VEH062,2015-01-12 14:47:16.525117,59.47,86.21,32.95,0.326,9489,81,0,
VEH094,2015-01-13 14:47:16.525117,44.36,90.08,47.36,0.531,33478,15,0,
VEH095,2015-01-14 14:47:16.525117,78.4,102.33,34.92,0.223,13616,26,1,38.0
VEH024,2015-01-15 14:47:16.525117,51.82,82.34,27.42,0.28,38997,52,1,21.0
VEH055,2015-01-16 14:47:16.525117,82.84,92.04,48.97,0.145,45046,60,0,
VEH009,2015-01-17 14:47:16.525117,60.91,93.17,39.07,0.221,18208,100,1,32.0
VEH003,2015-01-18 14:47:16.525117,38.9,82.45,43.36,0.202,14170,41,0,
VEH031,2015-01-19 14:47:16.525117,57.43,89.4,50.09,0.593,30582,79,0,
VEH040,2015-01-20 14:47:16.525117,44.06,104.01,32.58,0.425,6211,63,1,13.0
VEH036,2015-01-21 14:47:16.525117,68.84,76.29,44.25,0.212,309,24,0,
VEH024,2015-01-22 14:47:16.525117,56.08,86.43,47.41,0.444,10454,92,1,44.0
VEH095,2015-01-23 14:47:16.525117,62.45,92.13,34.18,0.412,14176,69,0,
VEH006,2015-01-24 14:47:16.525117,54.46,86.72,49.09,0.275,7055,115,0,
VEH066,2015-01-25 14:47:16.525117,51.67,112.67,29.28,0.515,9669,15,1,40.0
VEH084,2015-01-26 14:47:16.525117,45.4,93.66,39.06,0.272,2855,54,0,
VEH092,2015-01-27 14:47:16.525117,72.54,82.27,34.32,0.709,6494,59,0,
VEH075,2015-01-28 14:47:16.525117,57.4,71.18,46.06,0.389,5491,66,0,
VEH004,2015-01-29 14:47:16.525117,55.28,92.49,33.96,0.251,7161,64,0,
VEH079,2015-01-30 14:47:16.525117,57.03,83.81,36.92,0.383,7106,96,0,
VEH006,2015-01-31 14:47:16.525117,49.82,99.8,33.75,0.431,16372,112,1,31.0
VEH094,2015-02-01 14:47:16.525117,55.33,87.57,33.03,0.33,5769,119,0,
VEH051,2015-02-02 14:47:16.525117,63.08,85.61,35.84,0.355,56591,7,1,49.0
VEH062,2015-02-03 14:47:16.525117,44.49,84.54,40.27,0.151,14319,80,0,
